study;year;center;matching;stars;post2015;nexp;mexp;sexp;nctrl;mctrl;sctrl;r
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,392;0,272;190;1,641;0,305;0,8
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,402;0,256;94;1,015;0,564;0,8
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,011;0,166;58;0,612;0,57;0,8
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;0,993;1,116;20;2,656;1,087;0,8
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;0,807;0,568;122;1,129;0,504;0,8
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;1,491;4,36;166;1,747;1,924;0,8
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;0,988;1,055;73;1,398;1,935;0,8
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;0,957;0,288;133;1,353;0,765;0,8
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,591;0,475;198;1,626;1,232;0,8
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,739;0,48;19;1,199;0,498;0,8
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,229;0,972;42;2,536;2,205;0,8
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,213;0,695;55;5,198;1,166;0,8
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,624;0,583;198;1,626;1,232;0,8
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,66;0,775;25;1,16;0,428;0,8
;;;;;;;;;;;;
;;;;;;;;;;;;
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;0,767;0,691;74;1,436;0,923;0,9
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,508;0,513;176;0,944;0,98;0,9
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,516;0,543;682;1,457;0,76;0,9
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;0,802;0,622;76;1,264;0,764;0,9
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,514;0,168;91;0,829;0,384;0,9
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,19;0,563;64;1,229;0,593;0,9
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,681;0,561;23;2,016;1,336;0,9
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,473;0,284;54;1,439;1,046;0,9
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;0,852;0,963;56;1,204;0,474;0,9
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;1,731;2,034;80;3,16;4,421;0,9
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,066;0,671;37;0,827;3,676;0,9
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,041;0,462;100;1,503;0,744;0,9
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,379;0,201;190;1,627;0,217;0,9
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,395;0,244;94;0,996;0,526;0,9
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,008;0,165;58;0,599;0,555;0,9
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;0,958;1,079;20;2,64;1,046;0,9
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;0,776;0,517;122;1,1;0,429;0,9
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;1,359;4,288;166;1,67;1,836;0,9
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;0,956;1,018;73;1,296;1,833;0,9
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;0,939;0,223;133;1,317;0,692;0,9
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,57;0,443;198;1,566;1,139;0,9
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,721;0,446;19;1,177;0,44;0,9
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,205;0,938;42;2,431;2,056;0,9
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,195;0,686;55;5,132;0,828;0,9
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,598;0,549;198;1,566;1,139;0,9
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,644;0,758;25;1,124;0,317;0,9
;;;;;;;;;;;;
;;;;;;;;;;;;
Abedali et al 2020;2020;Single Center Studies;Studies with matching;8;Studies after 2015;148;0,743;0,658;74;1,393;0,843;0,99
Banapour et al 2018;2018;Single Center Studies;Studies with matching;6;Studies after 2015;163;0,496;0,498;176;0,899;0,921;0,99
Bravi et al 2019;2019;Multicenter Studies;Studies without matching;9;Studies after 2015;789;0,493;0,514;682;1,421;0,677;0,99
Garisto et al 2018;2018;Single Center Studies;Studies without matching;6;Studies after 2015;203;0,776;0,58;76;1,243;0,724;0,99
Ghali et al 2019;2019;Single Center Studies;Studies without matching;6;Studies after 2015;59;0,506;0,137;91;0,814;0,349;0,99
Kim et al 2019;2019;Single Center Studies;Studies without matching;7;Studies after 2015;85;1,155;0,472;64;1,194;0,504;0,99
Klaassen et al 2014;2014;Single Center Studies;Studies without matching;6;Studies before 2015;35;0,667;0,541;23;1,982;1,278;0,99
Lucas et al 2012;2012;Single Center Studies;Studies with matching;7;Studies before 2015;27;0,465;0,269;54;1,395;0,972;0,99
Malkoc et al 2017;2017;Single Center Studies;Studies without matching;7;Studies after 2015;54;0,82;0,925;56;1,182;0,408;0,99
Mearini et al 2016;2016;Single Center Studies;Studies without matching;6;Studies after 2015;31;1,665;1,962;80;3,055;4,325;0,99
Motoyama et al 2019;2019;Single Center Studies;Studies with matching;6;Studies after 2015;37;0,052;0,666;37;0,725;3,628;0,99
Oh et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;100;1,004;0,36;100;1,473;0,674;0,99
Wang et al 2016;2016;Multicenter Studies;Studies with matching;8;Studies after 2015;190;1,368;0,099;190;1,614;0,075;0,99
Wu et al 2014;2014;Single Center Studies;Studies with matching;8;Studies before 2015;51;0,389;0,233;94;0,979;0,488;0,99
Sawada et al 2021;2021;Single Center Studies;Studies with matching;7;Studies after 2015;58;0,004;0,164;58;0,588;0,54;0,99
Boylu et al 2015;2015;Single Center Studies;Studies without matching;7;Studies after 2015;46;0,927;1,044;20;2,626;1,008;0,99
Chang et al 2018;2018;Multicenter Studies;Studies with matching;8;Studies after 2015;122;0,749;0,466;122;1,074;0,349;0,99
Kowalewski et al 2021;2021;Single Center Studies;Studies with matching;8;Studies after 2015;83;1,24;4,222;166;1,601;1,753;0,99
Luciani et al 2017;2017;Single Center Studies;Studies with matching;6;Studies after 2015;110;0,927;0,984;73;1,205;1,736;0,99
Porpiglia et al 2016;2016;Multicenter Studies;Studies without matching;9;Studies after 2015;95;0,924;0,139;133;1,284;0,618;0,99
Minervini et al 2013;2013;Multicenter Studies;Studies without matching;9;Studies before 2015;104;0,55;0,412;198;1,513;1,048;0,99
Saoud et al 2017;2017;Single Center Studies;Studies without matching;5;Studies after 2015;15;0,704;0,414;19;1,157;0,38;0,99
Soisrithong et al 2021;2021;Single Center Studies;Studies without matching;7;Studies after 2015;70;1,184;0,907;42;2,336;1,913;0,99
Tan et al 2018;2018;Single Center Studies;Studies without matching;8;Studies after 2015;145;0,178;0,677;55;5,072;0,28;0,99
Vittori et al 2014;2014;Multicenter Studies;Studies without matching;9;Studies before 2015;105;0,575;0,518;198;1,513;1,048;0,99
Alemozaffar et al 2013;2013;Single Center Studies;Studies without matching;7;Studies before 2015;25;0,628;0,743;25;1,092;0,162;0,99
